state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
WI,62.0,415.0,368-9073,no,no,0.0,86.3,84.0,14.67,238.7,99.0,20.29,238.4,79.0,10.73,12.5,1.0,3.38,2.0,False
MD,133.0,510.0,373-7974,no,no,0.0,295.0,141.0,50.15,223.6,101.0,19.01,229.4,109.0,10.32,12.9,4.0,3.48,2.0,True
IN,131.0,408.0,371-4633,no,no,0.0,240.9,108.0,40.95,167.4,91.0,14.23,322.2,109.0,14.5,14.7,8.0,3.97,3.0,False
IN,65.0,408.0,336-4960,no,no,0.0,207.7,109.0,35.31,217.5,117.0,18.49,125.6,111.0,5.65,8.0,5.0,2.16,1.0,False
NY,120.0,510.0,405-5083,no,yes,27.0,128.5,115.0,21.85,163.7,91.0,13.91,242.9,121.0,10.93,0.0,0.0,0.0,1.0,False
OR,142.0,510.0,392-1105,no,yes,22.0,224.4,114.0,38.15,146.0,106.0,12.41,241.4,98.0,10.86,8.8,2.0,2.38,1.0,False
OK,134.0,415.0,378-2397,no,no,0.0,164.9,115.0,28.03,126.5,96.0,10.75,238.5,125.0,10.73,10.0,9.0,2.7,2.0,False
WI,87.0,415.0,331-4184,no,no,0.0,238.0,97.0,40.46,164.5,97.0,13.98,282.5,132.0,12.71,10.6,6.0,2.86,2.0,False
NJ,139.0,415.0,376-2408,no,yes,43.0,231.0,85.0,39.27,222.3,82.0,18.9,148.0,105.0,6.66,8.3,5.0,2.24,2.0,False
AR,76.0,408.0,345-3614,no,no,0.0,107.3,140.0,18.24,238.2,133.0,20.25,271.8,116.0,12.23,10.0,3.0,2.7,4.0,True
UT,100.0,408.0,370-9296,no,no,0.0,185.0,122.0,31.45,182.5,92.0,15.51,274.9,92.0,12.37,5.1,8.0,1.38,1.0,False
DC,99.0,415.0,402-5076,no,yes,31.0,244.1,71.0,41.5,203.4,58.0,17.29,234.0,115.0,10.53,7.7,4.0,2.08,3.0,False
AK,99.0,510.0,401-7334,no,no,0.0,238.4,96.0,40.53,246.5,130.0,20.95,198.4,117.0,8.93,12.4,4.0,3.35,3.0,False
AZ,48.0,415.0,409-3428,no,yes,27.0,141.1,109.0,23.99,224.7,94.0,19.1,174.3,122.0,7.84,13.2,2.0,3.56,1.0,False
KS,57.0,415.0,362-2067,no,no,0.0,158.1,117.0,26.88,115.2,149.0,9.79,182.4,92.0,8.21,11.8,7.0,3.19,0.0,False
OH,106.0,415.0,352-2270,no,yes,30.0,220.1,105.0,37.42,222.2,109.0,18.89,158.4,96.0,7.13,13.1,8.0,3.54,0.0,False
KS,170.0,415.0,404-5840,no,yes,42.0,199.5,119.0,33.92,135.0,90.0,11.48,184.6,49.0,8.31,10.9,3.0,2.94,4.0,True
SC,78.0,415.0,360-3126,no,no,0.0,109.5,105.0,18.62,286.1,90.0,24.32,247.6,113.0,11.14,4.9,9.0,1.32,1.0,False
TN,39.0,408.0,364-8731,no,no,0.0,187.2,110.0,31.82,114.7,116.0,9.75,104.7,83.0,4.71,13.2,5.0,3.56,1.0,False
CA,127.0,510.0,388-4331,no,no,0.0,107.9,128.0,18.34,187.0,77.0,15.9,218.5,95.0,9.83,0.0,0.0,0.0,0.0,False
MI,119.0,510.0,335-7324,yes,yes,22.0,172.1,119.0,29.26,223.6,133.0,19.01,150.0,94.0,6.75,13.9,20.0,3.75,1.0,True
IN,114.0,408.0,362-8886,no,no,0.0,203.8,85.0,34.65,87.8,110.0,7.46,166.2,122.0,7.48,11.7,4.0,3.16,1.0,False
RI,95.0,408.0,410-4882,no,no,0.0,160.0,133.0,27.2,215.3,98.0,18.3,188.9,87.0,8.5,9.1,4.0,2.46,0.0,False
MO,116.0,408.0,371-1139,no,no,0.0,51.1,106.0,8.69,208.6,137.0,17.73,198.0,92.0,8.91,12.3,3.0,3.32,1.0,False
TN,110.0,415.0,391-5516,no,no,0.0,227.7,88.0,38.71,170.0,96.0,14.45,128.7,57.0,5.79,11.7,5.0,3.16,1.0,False
CT,74.0,510.0,380-3186,no,no,0.0,203.8,77.0,34.65,205.1,111.0,17.43,154.9,109.0,6.97,9.0,2.0,2.43,1.0,False
ME,148.0,408.0,347-9995,no,yes,33.0,241.7,84.0,41.09,165.8,84.0,14.09,160.6,80.0,7.23,11.3,3.0,3.05,1.0,False
MD,83.0,510.0,340-9013,no,no,0.0,78.1,70.0,13.28,239.3,115.0,20.34,144.4,112.0,6.5,12.3,4.0,3.32,1.0,False
NC,73.0,408.0,362-8378,no,no,0.0,187.8,95.0,31.93,149.2,143.0,12.68,201.4,113.0,9.06,11.0,4.0,2.97,2.0,False
SC,111.0,415.0,418-8969,no,yes,21.0,127.1,94.0,21.61,228.3,116.0,19.41,166.7,108.0,7.5,7.1,3.0,1.92,1.0,False
CA,84.0,415.0,417-1488,no,no,0.0,280.0,113.0,47.6,202.2,90.0,17.19,156.8,103.0,7.06,10.4,4.0,2.81,0.0,True
LA,75.0,510.0,358-9898,yes,no,0.0,153.2,78.0,26.04,210.8,99.0,17.92,153.5,100.0,6.91,7.8,3.0,2.11,1.0,False
WI,114.0,415.0,373-7308,no,yes,26.0,137.1,88.0,23.31,155.7,125.0,13.23,247.6,94.0,11.14,11.5,7.0,3.11,2.0,False
IL,71.0,510.0,330-7137,yes,no,0.0,186.1,114.0,31.64,198.6,140.0,16.88,206.5,80.0,9.29,13.8,5.0,3.73,4.0,True
IN,58.0,415.0,406-8445,no,yes,22.0,224.1,127.0,38.1,238.8,85.0,20.3,174.2,86.0,7.84,11.5,7.0,3.11,2.0,False
AL,106.0,408.0,404-5283,no,yes,29.0,83.6,131.0,14.21,203.9,131.0,17.33,229.5,73.0,10.33,8.1,3.0,2.19,1.0,False
OK,172.0,408.0,398-3632,no,no,0.0,203.9,109.0,34.66,234.0,123.0,19.89,160.7,65.0,7.23,17.8,4.0,4.81,4.0,False
IA,45.0,415.0,399-5763,no,no,0.0,211.3,87.0,35.92,165.7,97.0,14.08,265.9,72.0,11.97,13.3,6.0,3.59,1.0,False
VT,100.0,408.0,340-9449,yes,no,0.0,219.4,112.0,37.3,225.7,102.0,19.18,255.3,95.0,11.49,12.0,4.0,3.24,4.0,False
NY,94.0,415.0,363-1123,no,no,0.0,190.4,91.0,32.37,92.0,107.0,7.82,224.8,108.0,10.12,13.6,17.0,3.67,2.0,False
LA,128.0,415.0,361-2170,no,no,0.0,147.7,94.0,25.11,283.3,83.0,24.08,188.3,124.0,8.47,6.9,5.0,1.86,2.0,False
SC,181.0,408.0,406-6304,no,no,0.0,229.9,130.0,39.08,144.4,93.0,12.27,262.4,110.0,11.81,14.2,4.0,3.83,2.0,False
ID,127.0,408.0,392-5090,no,no,0.0,102.8,128.0,17.48,143.7,95.0,12.21,191.4,97.0,8.61,10.0,5.0,2.7,1.0,False
MO,89.0,415.0,373-7713,no,no,0.0,178.7,81.0,30.38,233.7,74.0,19.86,131.9,120.0,5.94,9.1,4.0,2.46,1.0,False
ME,149.0,415.0,392-1376,no,yes,18.0,148.5,106.0,25.25,114.5,106.0,9.73,178.3,98.0,8.02,6.5,4.0,1.76,0.0,False
MS,103.0,510.0,390-6388,no,yes,29.0,164.1,111.0,27.9,219.1,96.0,18.62,220.3,108.0,9.91,12.3,9.0,3.32,0.0,False
SD,163.0,415.0,379-7290,yes,no,0.0,197.2,90.0,33.52,188.5,113.0,16.02,211.1,94.0,9.5,7.8,8.0,2.11,1.0,False
OK,52.0,415.0,397-9928,no,no,0.0,124.9,131.0,21.23,300.5,118.0,25.54,192.5,106.0,8.66,11.6,4.0,3.13,2.0,False
WY,89.0,415.0,378-6924,no,no,0.0,115.4,99.0,19.62,209.9,115.0,17.84,280.9,112.0,12.64,15.9,6.0,4.29,3.0,False
GA,122.0,510.0,411-5677,yes,no,0.0,140.0,101.0,23.8,196.4,77.0,16.69,120.1,133.0,5.4,9.7,4.0,2.62,4.0,True
VT,60.0,415.0,400-2738,no,no,0.0,193.9,118.0,32.96,85.0,110.0,7.23,210.1,134.0,9.45,13.2,8.0,3.56,3.0,False
MD,62.0,408.0,409-1856,no,no,0.0,321.1,105.0,54.59,265.5,122.0,22.57,180.5,72.0,8.12,11.5,2.0,3.11,4.0,True
IN,117.0,415.0,362-5899,no,no,0.0,118.4,126.0,20.13,249.3,97.0,21.19,227.0,56.0,10.22,13.6,3.0,3.67,5.0,True
WV,159.0,415.0,377-1164,no,no,0.0,169.8,114.0,28.87,197.7,105.0,16.8,193.7,82.0,8.72,11.6,4.0,3.13,1.0,False
OH,78.0,408.0,368-8555,no,no,0.0,193.4,99.0,32.88,116.9,88.0,9.94,243.3,109.0,10.95,9.3,4.0,2.51,2.0,False
OH,96.0,415.0,347-6812,no,no,0.0,106.6,128.0,18.12,284.8,87.0,24.21,178.9,92.0,8.05,14.9,7.0,4.02,1.0,False
SC,79.0,415.0,348-3830,no,no,0.0,134.7,98.0,22.9,189.7,68.0,16.12,221.4,128.0,9.96,11.8,5.0,3.19,2.0,False
AZ,192.0,415.0,414-4276,no,yes,36.0,156.2,77.0,26.55,215.5,126.0,18.32,279.1,83.0,12.56,9.9,6.0,2.67,2.0,False
WV,68.0,415.0,370-3271,no,no,0.0,231.1,57.0,39.29,153.4,55.0,13.04,191.3,123.0,8.61,9.6,4.0,2.59,3.0,False
RI,28.0,510.0,328-8230,no,no,0.0,180.8,109.0,30.74,288.8,58.0,24.55,191.9,91.0,8.64,14.1,6.0,3.81,2.0,False
CT,184.0,510.0,364-6381,yes,no,0.0,213.8,105.0,36.35,159.6,84.0,13.57,139.2,137.0,6.26,5.0,10.0,1.35,2.0,False
TN,74.0,415.0,400-4344,no,yes,25.0,234.4,113.0,39.85,265.9,82.0,22.6,241.4,77.0,10.86,13.7,4.0,3.7,0.0,False
IN,120.57,400.23,397-4976,no,no,0.0,172.1,93.06,29.36,172.69,108.63,14.34,240.23,78.14,11.19,11.62,1.94,3.14,1.03,False
IN,95.29,425.29,406-7643,no,yes,31.87,129.51,122.24,21.67,241.5,105.84,19.76,183.34,106.99,9.02,13.19,9.38,3.4,2.96,False
MI,58.06,425.55,342-8348,no,no,0.0,182.94,107.57,30.63,152.61,111.43,13.05,205.46,104.55,9.34,10.51,2.06,2.76,2.07,False
KY,52.86,406.8,345-4551,no,yes,27.94,101.4,78.28,17.66,198.36,108.41,17.47,179.44,94.96,8.24,8.2,6.02,2.32,1.91,False
NV,184.79,524.69,351-1382,no,no,0.0,143.21,94.62,23.73,216.14,66.25,18.9,166.8,115.76,7.51,15.63,5.23,4.3,1.93,False
NE,124.04,516.81,409-9494,no,yes,30.58,171.67,96.51,29.08,215.18,100.63,18.44,239.2,110.74,10.3,9.22,6.92,2.52,2.92,False
IA,98.87,515.64,379-6506,no,yes,20.38,154.61,108.76,27.39,262.58,82.54,22.45,165.66,92.23,7.51,4.42,7.84,1.14,3.8,False
AL,92.36,398.83,348-9383,yes,no,0.0,151.05,117.04,25.06,99.34,110.58,8.73,154.9,89.4,7.31,12.03,3.87,3.25,0.97,False
MS,79.93,419.57,356-4001,no,no,0.0,236.74,84.62,39.23,99.83,138.39,9.1,294.99,130.01,14.43,11.25,3.14,3.11,1.93,False
DC,164.05,497.73,391-2231,no,no,0.0,186.52,104.18,31.29,209.44,69.08,17.79,232.66,129.0,9.68,9.75,3.06,2.71,2.04,False
MT,127.76,413.03,344-3466,no,yes,30.22,148.76,93.44,26.26,158.95,100.25,13.09,147.23,100.48,6.73,12.5,3.88,3.51,4.16,True
NM,241.54,402.03,386-9177,no,no,0.0,159.91,104.58,29.52,198.92,116.35,16.92,118.92,75.08,5.39,11.44,2.93,3.21,0.95,False
KY,93.19,413.55,401-7594,no,no,0.0,130.26,94.5,23.73,184.73,107.85,16.29,243.36,97.75,10.66,13.11,8.88,3.54,1.05,False
PA,75.75,412.44,365-2008,no,no,0.0,272.63,118.26,47.84,183.14,111.3,16.38,253.34,87.64,12.04,6.05,6.92,1.67,1.02,True
DC,53.16,493.94,354-5058,yes,no,0.0,101.97,79.51,18.7,123.61,95.25,10.79,100.06,89.9,4.31,13.4,3.06,3.44,0.0,False
KS,24.13,498.67,369-5449,no,no,0.0,243.41,93.23,40.35,189.3,77.56,16.33,178.82,112.42,8.16,15.18,6.28,4.19,0.0,True
ID,89.83,417.13,405-4606,no,yes,32.17,163.84,111.16,29.68,275.6,93.91,23.65,220.6,90.82,10.73,11.74,5.22,3.03,1.03,False
IN,93.59,488.71,360-5794,no,no,0.0,249.7,112.98,42.69,175.34,90.22,15.07,270.85,100.8,11.91,10.03,5.88,2.51,1.04,False
PA,63.18,422.23,382-9138,no,yes,22.87,223.15,105.81,37.51,180.95,104.73,15.73,232.05,73.26,10.08,9.77,3.88,2.63,0.0,False
IN,204.22,522.57,361-5864,no,no,0.0,48.52,128.8,8.13,157.08,78.89,13.44,192.3,66.47,8.83,9.71,3.87,2.84,2.07,False
AL,83.39,410.85,406-8037,no,no,0.0,158.7,103.08,26.0,98.03,116.99,8.13,294.59,96.01,12.62,10.22,7.32,2.7,0.98,False
HI,173.24,388.34,377-9473,no,no,0.0,186.83,103.65,31.88,259.47,53.61,20.69,110.49,91.27,4.89,11.02,5.98,3.27,1.0,False
SC,72.58,418.35,415-2641,no,no,0.0,211.81,87.49,36.34,203.03,108.16,16.57,191.53,120.32,8.01,13.68,4.07,3.46,0.0,False
AZ,121.64,496.07,350-7227,no,yes,21.94,211.75,90.37,34.73,134.75,117.8,11.46,202.33,98.07,9.54,8.54,4.99,2.37,1.98,False
NY,173.79,427.27,412-6245,no,no,0.0,140.75,109.53,22.42,193.7,111.17,17.1,288.44,126.42,12.86,12.69,5.11,3.54,2.05,False
HI,157.05,430.24,346-8362,yes,yes,26.19,220.69,125.93,35.31,136.17,118.13,12.25,141.69,93.28,6.83,10.61,3.12,3.09,1.0,False
FL,102.19,400.78,395-6913,no,yes,30.32,220.19,86.1,37.63,308.21,109.38,27.71,277.04,111.45,12.65,14.94,1.96,3.84,0.0,False
IL,127.35,434.26,395-1718,no,no,0.0,202.05,91.61,33.97,274.33,106.41,22.46,112.11,102.13,5.1,9.11,2.08,2.41,1.93,False
WI,105.21,401.65,386-8943,no,no,0.0,184.31,140.43,31.92,99.99,87.39,8.0,179.27,135.5,8.25,8.37,3.11,2.27,0.99,False
HI,115.0,421.32,418-8170,no,yes,24.73,207.54,95.74,38.58,142.24,52.15,11.67,141.72,80.92,6.53,10.74,3.96,3.06,0.0,False
VT,160.0,534.21,345-1998,no,no,0.0,250.32,130.11,43.08,205.69,62.27,17.73,233.39,121.56,10.42,0.0,0.0,0.0,0.99,False
OR,127.25,515.27,353-6056,no,no,0.0,183.77,108.64,31.5,199.61,130.09,18.09,258.95,89.92,12.42,12.81,2.08,3.53,1.01,False
MI,60.34,397.76,342-8348,no,no,0.0,185.81,103.88,32.09,146.79,114.21,13.29,212.46,101.29,9.78,10.33,2.05,2.78,2.04,False
TN,126.04,425.35,386-7456,no,yes,12.12,147.65,92.19,23.58,219.84,100.23,20.37,194.17,103.57,8.86,8.78,5.0,2.33,0.0,False
NJ,73.92,395.05,327-6989,no,yes,40.94,238.71,94.3,40.89,173.43,108.24,14.1,99.36,91.32,4.83,11.08,8.29,2.91,0.99,False
NJ,109.64,427.56,338-9612,no,yes,37.55,94.82,82.31,16.61,185.67,91.85,14.8,172.18,121.85,7.77,10.22,1.98,2.71,1.01,False
AL,92.2,425.73,350-7273,no,no,0.0,239.46,114.19,37.35,204.5,108.35,17.68,164.46,107.79,7.4,14.69,6.02,3.81,1.03,False
WA,45.82,512.02,332-1502,no,no,0.0,90.47,105.34,15.78,269.77,74.6,23.56,147.91,115.74,6.46,13.13,2.05,3.54,1.01,False
KS,132.34,416.71,352-8202,no,no,0.0,208.76,91.64,35.82,203.97,85.87,18.17,290.32,86.73,12.92,14.71,3.9,3.98,2.09,False
ID,197.86,413.96,411-4714,no,no,0.0,93.92,94.79,16.53,135.86,105.53,12.16,214.78,118.96,9.24,10.52,4.79,2.85,1.99,True
MI,45.21,516.4,375-8934,no,yes,25.96,92.55,103.75,14.87,155.08,113.74,12.17,62.46,100.35,2.74,7.37,5.23,2.16,0.99,False
NY,9.19,399.93,398-8588,no,yes,15.73,89.53,85.37,15.36,171.93,112.93,15.16,229.69,94.14,10.52,11.04,2.93,3.23,1.95,False
WI,109.44,416.39,382-6438,no,no,0.0,256.88,110.65,43.48,226.32,86.11,19.27,171.17,101.19,7.99,12.39,2.87,3.32,1.92,False
SC,42.39,395.95,332-1060,no,no,0.0,143.62,113.24,23.58,153.72,108.57,13.18,193.09,114.7,8.58,8.93,3.13,2.25,0.97,False
SC,37.22,407.75,375-5439,no,yes,31.76,195.43,117.63,34.44,249.24,71.4,21.2,306.6,99.78,13.9,3.96,1.9,1.03,0.0,False
WV,90.6,412.35,344-4478,no,no,0.0,213.36,139.14,33.66,168.29,84.13,13.91,266.58,105.06,11.9,13.07,5.97,3.42,1.97,False
CO,136.73,418.18,371-4306,no,yes,33.35,142.77,86.53,25.9,132.85,94.44,11.3,213.53,143.55,9.58,9.62,1.04,2.62,1.05,False
NE,102.05,419.87,397-7500,no,yes,28.02,138.65,97.04,23.89,172.83,90.35,13.82,284.08,96.08,12.03,11.94,2.0,3.0,1.02,False
MI,78.02,414.91,408-3384,no,no,0.0,156.2,97.35,26.16,187.74,98.44,17.24,202.41,90.21,8.92,6.18,1.98,1.71,1.93,False
NV,61.56,391.27,350-7306,no,no,0.0,142.48,72.78,24.92,157.53,104.47,14.46,225.84,122.5,9.86,12.45,2.01,3.46,5.04,True
CT,54.08,418.73,387-4064,no,yes,33.83,155.38,73.99,28.23,261.11,59.62,23.08,146.25,74.05,6.7,13.49,3.93,3.88,0.0,False
AZ,92.29,405.24,366-9015,no,no,0.0,223.89,115.85,36.81,149.82,67.64,13.27,180.59,84.89,8.15,10.16,3.97,2.8,1.97,False
IN,83.89,427.63,363-5947,no,no,0.0,181.32,65.57,29.64,256.93,88.59,20.55,280.89,98.79,12.46,9.75,3.13,2.83,0.96,False
MS,181.6,406.18,394-5753,yes,no,0.0,117.44,56.4,19.13,212.86,129.71,19.22,242.7,79.13,11.16,10.03,6.81,2.59,3.12,False
AL,185.03,403.11,418-3096,no,yes,23.12,125.66,107.01,21.64,137.48,128.05,12.6,187.51,100.92,8.33,11.43,2.88,3.06,0.99,False
WY,102.07,425.14,389-8606,no,yes,27.45,202.62,88.73,34.72,265.46,114.03,23.19,177.22,104.8,8.12,8.85,5.12,2.56,1.0,False
NV,119.25,411.88,356-3646,no,no,0.0,190.47,100.95,30.24,340.58,70.68,28.5,210.0,109.87,9.94,7.35,6.02,2.02,1.93,False
UT,94.82,413.46,404-3211,no,no,0.0,162.04,116.23,27.44,265.89,66.51,23.68,219.66,69.8,10.1,9.7,4.96,2.48,2.1,False
IN,119.95,389.54,397-4976,no,no,0.0,168.18,97.89,28.26,174.47,103.56,14.91,258.22,73.94,10.95,10.93,1.91,3.09,1.03,False
ME,41.36,417.93,399-6642,no,yes,30.33,200.84,106.98,32.3,189.3,84.73,17.14,153.2,91.75,6.74,10.83,4.05,3.02,1.02,False
OH,77.55,417.14,368-8555,no,no,0.0,193.8,103.12,33.83,113.84,83.84,9.99,248.4,113.82,11.21,8.99,3.98,2.44,1.95,False
NC,120.6,413.02,352-6265,no,no,0.0,180.34,76.3,32.54,186.17,118.53,15.55,214.32,120.86,9.49,6.28,5.84,1.65,0.98,False
OK,161.13,530.52,333-3460,no,no,0.0,192.6,108.6,34.44,194.65,88.34,16.27,223.37,121.21,9.2,16.17,6.93,4.37,4.98,False
NJ,81.22,429.17,395-6030,no,no,0.0,176.28,101.68,31.26,175.52,85.89,14.11,172.04,63.32,8.25,8.2,3.91,2.27,3.08,False
DE,99.9,432.21,327-5817,no,yes,30.01,187.73,94.17,30.42,192.64,89.53,15.73,157.5,76.55,7.29,13.07,7.07,3.43,3.1,False
OR,78.58,427.47,391-8087,no,no,0.0,158.11,98.67,26.75,193.45,81.7,16.25,226.44,121.06,10.47,10.34,3.99,2.84,1.03,False
ME,108.8,511.83,352-5750,no,no,0.0,207.04,114.89,35.71,219.64,128.29,18.36,191.6,110.0,8.48,8.58,7.24,2.47,2.86,False
NH,153.03,528.33,336-9273,no,no,0.0,233.45,92.3,37.62,130.02,102.61,11.48,191.29,104.51,9.04,8.73,2.06,2.5,0.99,False
UT,252.32,530.1,355-9360,no,no,0.0,95.75,93.38,15.59,157.85,62.15,13.92,256.61,112.23,11.88,6.36,5.95,1.74,2.04,False
AR,188.29,395.03,353-2557,no,yes,18.95,162.3,127.11,26.66,254.36,89.34,21.98,189.26,108.9,8.84,9.88,5.96,2.65,0.0,False
MD,105.28,424.56,386-9774,no,no,0.0,125.19,57.12,22.19,345.86,122.84,28.79,146.4,89.73,6.66,11.25,3.13,2.81,0.99,False
IL,73.74,434.53,397-8051,no,no,0.0,202.49,110.18,36.29,168.25,96.56,15.26,174.56,63.12,8.31,12.52,2.89,3.3,0.99,False
NY,112.07,515.78,346-4984,no,no,0.0,91.84,125.97,14.91,177.63,131.03,15.16,186.67,92.35,8.98,13.38,3.01,3.71,1.93,False
ND,137.58,508.99,378-4013,yes,yes,24.91,132.62,54.16,22.49,219.21,100.71,17.59,227.5,87.11,10.75,5.87,4.01,1.51,1.96,False
NY,65.19,405.77,345-9140,yes,no,0.0,356.36,55.36,59.3,244.98,80.84,21.21,264.99,97.33,12.01,12.87,9.12,3.76,1.03,True
GA,124.77,405.47,409-6753,no,no,0.0,95.14,102.25,17.26,183.86,83.0,16.55,142.59,99.96,6.72,8.94,3.96,2.39,1.93,False
VT,48.0,410.05,373-3538,no,no,0.0,204.7,83.11,34.57,206.62,75.26,17.84,221.94,111.6,9.69,11.44,4.9,2.98,2.85,False
TN,135.29,411.27,352-4534,no,no,0.0,100.41,143.08,16.54,260.16,120.96,20.33,155.14,102.42,7.05,7.14,6.04,2.0,1.03,False
SC,116.88,402.12,415-6347,no,no,0.0,137.79,130.89,23.91,202.36,80.93,17.82,214.3,84.05,9.6,13.96,9.38,3.43,0.0,True
CT,89.98,397.45,334-4438,no,no,0.0,39.3,78.87,6.19,152.39,102.21,13.24,178.6,107.22,8.03,13.52,4.84,3.82,2.93,False
MO,96.96,431.85,374-7787,yes,no,0.0,165.95,85.69,28.97,297.51,113.8,24.04,191.28,93.18,8.97,11.25,2.01,3.01,0.96,True
VT,133.99,409.59,416-8394,no,no,0.0,182.16,72.94,28.73,174.26,120.66,15.2,127.37,98.16,6.19,7.39,6.05,1.99,1.03,False
DC,131.27,432.32,329-6562,no,no,0.0,170.32,88.31,27.85,117.31,118.85,10.02,186.25,106.03,8.4,11.3,6.72,2.89,2.1,False
WA,106.82,413.87,361-8239,no,no,0.0,182.38,118.81,30.43,119.12,118.13,10.59,158.64,89.97,7.02,10.8,2.87,2.95,0.0,False
RI,133.18,398.29,360-1776,no,no,0.0,109.44,131.67,18.25,193.28,117.41,17.23,136.18,100.34,6.32,9.8,4.97,2.84,0.0,False
MD,170.57,401.44,381-1328,no,no,0.0,141.46,116.44,22.52,190.2,95.51,15.61,137.56,104.37,6.17,11.0,4.1,3.14,0.0,False
IN,65.1,530.76,330-9354,no,no,0.0,244.61,122.82,44.06,243.91,113.0,22.64,266.19,93.38,12.78,8.54,5.93,2.4,2.08,True
MN,171.62,428.22,418-9502,no,no,0.0,165.13,51.84,30.38,187.93,109.18,15.76,203.92,106.77,9.42,12.77,3.81,3.57,0.96,False
VA,105.45,405.82,335-1697,no,no,0.0,192.38,96.17,34.3,260.36,60.92,21.64,343.3,75.45,16.19,9.63,3.09,2.59,0.0,True
SD,118.44,404.36,386-3823,no,yes,25.11,124.1,78.37,21.5,281.19,112.51,24.75,182.78,108.57,8.32,11.16,5.17,3.14,0.97,False
DC,97.05,413.94,406-5023,no,no,0.0,168.59,98.18,29.24,235.35,90.24,20.16,155.44,95.06,7.01,9.42,3.15,2.57,4.01,False
ID,152.58,403.17,410-5963,no,yes,21.12,167.63,109.16,29.16,249.19,90.41,21.09,210.05,121.74,9.4,7.34,11.05,1.97,1.03,False
NC,115.46,393.89,405-7542,no,no,0.0,189.43,100.28,33.9,258.95,81.99,21.97,127.54,80.98,6.13,9.92,1.96,2.71,2.06,False
ME,32.46,423.39,371-7917,no,no,0.0,168.96,106.21,27.77,75.6,93.13,6.68,206.01,102.11,9.2,13.25,2.06,3.5,1.0,False
FL,132.99,505.14,392-8318,no,no,0.0,194.46,88.83,33.51,161.91,117.32,15.08,286.96,81.11,12.8,5.79,4.06,1.56,0.0,False
DC,141.84,422.82,354-8914,no,no,0.0,163.47,96.58,27.84,191.68,108.14,16.7,220.56,94.53,9.54,13.86,7.6,3.88,2.04,False
MN,81.14,496.5,375-2522,no,no,0.0,141.71,58.51,23.89,296.51,130.01,23.6,189.85,122.28,8.46,9.65,3.81,2.54,2.05,False
WV,62.97,517.32,329-7102,no,no,0.0,133.99,122.3,22.97,69.44,64.19,5.42,158.9,125.75,7.34,10.31,2.0,2.56,2.9,False
MN,118.0,410.23,408-6266,no,no,0.0,191.1,86.05,34.61,166.93,109.98,14.3,245.82,142.41,10.28,11.79,5.85,3.09,1.02,False
NH,113.05,419.85,358-1778,no,no,0.0,168.0,83.94,26.23,241.45,84.82,21.34,161.26,98.24,6.68,9.33,8.03,2.5,0.0,False
OK,50.95,413.45,389-4780,no,no,0.0,215.03,67.58,37.13,154.49,141.46,13.8,126.27,110.95,5.3,9.58,3.81,2.55,1.9,False
OK,107.47,520.34,356-2302,no,no,0.0,196.87,123.95,32.59,88.81,120.25,7.8,143.55,62.55,6.68,15.98,3.14,4.06,3.12,False
WI,88.78,425.19,331-4184,no,no,0.0,238.14,101.75,39.15,167.93,98.1,14.51,278.68,130.58,12.67,10.38,6.03,2.96,1.97,False
WI,143.48,425.76,343-3227,no,yes,23.98,236.58,97.94,42.45,280.99,61.96,24.42,257.48,108.92,11.14,9.16,4.12,2.52,0.0,False
NV,181.97,492.71,351-1382,no,no,0.0,134.06,96.54,22.8,235.79,67.07,19.23,163.24,115.57,7.65,16.36,5.1,4.35,2.06,False
NV,134.88,419.68,347-1814,no,no,0.0,184.0,109.13,31.55,149.5,89.1,13.65,181.91,81.95,7.87,11.09,6.01,2.85,0.0,False
WY,52.6,401.26,337-4339,no,yes,26.29,27.15,118.13,4.29,212.04,98.38,18.18,236.91,64.3,10.04,6.54,6.75,1.68,0.99,False
CO,67.97,486.85,407-5056,no,no,0.0,164.14,51.64,27.97,179.7,134.92,15.33,184.88,87.06,8.73,10.17,4.17,2.64,2.06,False
CO,63.3,485.22,407-5056,no,no,0.0,151.34,55.16,27.41,194.58,136.71,16.13,186.96,89.04,8.65,9.68,4.06,2.57,2.07,False
HI,91.28,404.3,353-6218,no,yes,27.05,144.69,108.42,24.2,228.82,141.07,18.74,176.88,68.15,7.74,11.59,4.75,3.03,0.0,False
MI,35.96,528.31,400-3637,no,yes,27.9,294.93,106.78,48.42,198.48,78.62,18.04,189.47,116.11,8.21,9.21,5.94,2.43,2.03,False
MD,97.6,423.26,397-4030,no,no,0.0,224.03,86.08,38.76,182.33,94.59,15.0,245.32,112.93,10.64,6.65,8.28,1.72,3.07,False
NC,78.59,394.11,406-5003,no,no,0.0,196.3,66.61,35.88,229.28,96.34,18.99,227.87,118.63,9.76,14.05,3.04,3.81,1.01,False
NH,104.54,432.35,381-4076,no,yes,20.2,188.66,118.62,30.6,264.9,88.26,20.97,330.95,106.78,14.7,8.54,1.96,2.42,0.96,False
OH,68.07,423.72,369-8574,yes,yes,23.04,124.17,93.79,20.86,270.65,99.71,24.51,222.12,110.83,10.09,14.14,6.21,3.88,3.06,True
